# If units not specified use current design units
Units mils

# Format for pin definition file (comma delineated)
PinNumber,Padstack,x,y,rotation
AC30,C450SM550PM450,4887.2,2520.8,0.0
AC32,C450SM550PM450,4949.9,2520.8,0.0
AC34,C450SM550PM450,5012.6,2520.8,0.0
AC36,C450SM550PM450,5075.4,2520.8,0.0
AC38,C450SM550PM450,5138.1,2520.8,0.0
AC40,C450SM550PM450,5200.9,2520.8,0.0
AC42,C450SM550PM450,5263.6,2520.8,0.0
AC44,C450SM550PM450,5326.3,2520.8,0.0
AC46,C450SM550PM450,5389.1,2520.8,0.0
AC48,C450SM550PM450,5451.8,2520.8,0.0
AC50,C450SM550PM450,5514.5,2520.8,0.0
AC52,C450SM550PM450,5577.3,2520.8,0.0
AC54,C450SM550PM450,5640.0,2520.8,0.0
AC56,C450SM550PM450,5702.7,2520.8,0.0
AC58,C450SM550PM450,5765.5,2520.8,0.0
AC60,C450SM550PM450,5828.2,2520.8,0.0
AC62,C450SM550PM450,5890.9,2520.8,0.0
AC64,C450SM550PM450,5953.7,2520.8,0.0
AC66,C450SM550PM450,6016.4,2520.8,0.0
AC68,C450SM550PM450,6079.2,2520.8,0.0
AD1,C450SM550PM450,3977.5,2502.6,0.0
AD3,C450SM550PM450,4040.2,2502.6,0.0
AD5,C450SM550PM450,4103.0,2502.6,0.0
AD7,C450SM550PM450,4165.7,2502.6,0.0
AD9,C450SM550PM450,4228.4,2502.6,0.0
AD11,C450SM550PM450,4291.2,2502.6,0.0
AD13,C450SM550PM450,4353.9,2502.6,0.0
AD15,C450SM550PM450,4416.6,2502.6,0.0
AD17,C450SM550PM450,4479.4,2502.6,0.0
AD19,C450SM550PM450,4542.1,2502.6,0.0
AD21,C450SM550PM450,4604.9,2502.6,0.0
AD23,C450SM550PM450,4667.6,2502.6,0.0
AD25,C450SM550PM450,4730.3,2502.6,0.0
AD27,C450SM550PM450,4793.1,2502.6,0.0
AD29,C450SM550PM450,4855.8,2502.6,0.0
AD31,C450SM550PM450,4918.5,2502.6,0.0
AD33,C450SM550PM450,4981.3,2502.6,0.0
AD35,C450SM550PM450,5044.0,2502.6,0.0
AD37,C450SM550PM450,5106.7,2502.6,0.0
AD39,C450SM550PM450,5169.5,2502.6,0.0
AD41,C450SM550PM450,5232.2,2502.6,0.0
AD43,C450SM550PM450,5295.0,2502.6,0.0
AD45,C450SM550PM450,5357.7,2502.6,0.0
AD47,C450SM550PM450,5420.4,2502.6,0.0
AD49,C450SM550PM450,5483.2,2502.6,0.0
AD51,C450SM550PM450,5545.9,2502.6,0.0
AD53,C450SM550PM450,5608.6,2502.6,0.0
AD55,C450SM550PM450,5671.4,2502.6,0.0
AD57,C450SM550PM450,5734.1,2502.6,0.0
AD59,C450SM550PM450,5796.8,2502.6,0.0
AD61,C450SM550PM450,5859.6,2502.6,0.0
