# If units not specified use current design units
Units mils

# Format for pin definition file (comma delineated)
PinNumber,Padstack,x,y,rotation,mirror
G9,BALL16M2,566.93,409.45,180.0,0
G10,BALL16M2,535.44,409.45,180.0,0
G11,BALL16M2,503.94,409.45,180.0,0
G12,BALL16M2,472.45,409.45,180.0,0
G13,BALL16M2,440.95,409.45,180.0,0
G14,BALL16M2,409.45,409.45,180.0,0
G15,BALL16M2,377.96,409.45,180.0,0
G16,BALL16M2,346.46,409.45,180.0,0
G17,BALL16M2,314.97,409.45,180.0,0
G18,BALL16M2,283.47,409.45,180.0,0
G19,BALL16M2,251.97,409.45,180.0,0
G20,BALL16M2,220.48,409.45,180.0,0
H1,BALL16M2,818.9,440.95,180.0,0
H2,BALL16M2,787.41,440.95,180.0,0
H3,BALL16M2,755.91,440.95,180.0,0
H4,BALL16M2,724.41,440.95,180.0,0
H5,BALL16M2,692.92,440.95,180.0,0
H6,BALL16M2,661.42,440.95,180.0,0
H7,BALL16M2,629.93,440.95,180.0,0
H8,BALL16M2,598.43,440.95,180.0,0
H9,BALL16M2,566.93,440.95,180.0,0
H10,BALL16M2,535.44,440.95,180.0,0
H11,BALL16M2,503.94,440.95,180.0,0
H12,BALL16M2,472.45,440.95,180.0,0
H13,BALL16M2,440.95,440.95,180.0,0
H14,BALL16M2,409.45,440.95,180.0,0
H15,BALL16M2,377.96,440.95,180.0,0
H16,BALL16M2,346.46,440.95,180.0,0
H17,BALL16M2,314.97,440.95,180.0,0
H18,BALL16M2,283.47,440.95,180.0,0
H19,BALL16M2,251.97,440.95,180.0,0
H20,BALL16M2,220.48,440.95,180.0,0
J1,BALL16M2,818.9,472.45,180.0,0
J2,BALL16M2,787.41,472.45,180.0,0
J3,BALL16M2,755.91,472.45,180.0,0
J4,BALL16M2,724.41,472.45,180.0,0
J5,BALL16M2,692.92,472.45,180.0,0
J6,BALL16M2,661.42,472.45,180.0,0
J7,BALL16M2,629.93,472.45,180.0,0
J8,BALL16M2,598.43,472.45,180.0,0
J9,BALL16M2,566.93,472.45,180.0,0
J10,BALL16M2,535.44,472.45,180.0,0
J11,BALL16M2,503.94,472.45,180.0,0
J12,BALL16M2,472.45,472.45,180.0,0
J13,BALL16M2,440.95,472.45,180.0,0
J14,BALL16M2,409.45,472.45,180.0,0
J15,BALL16M2,377.96,472.45,180.0,0
J16,BALL16M2,346.46,472.45,180.0,0
J17,BALL16M2,314.97,472.45,180.0,0
J18,BALL16M2,283.47,472.45,180.0,0
J19,BALL16M2,251.97,472.45,180.0,0
J20,BALL16M2,220.48,472.45,180.0,0
K1,BALL16M2,818.9,503.94,180.0,0
K2,BALL16M2,787.41,503.94,180.0,0
K3,BALL16M2,755.91,503.94,180.0,0
K4,BALL16M2,724.41,503.94,180.0,0
K5,BALL16M2,692.92,503.94,180.0,0
K6,BALL16M2,661.42,503.94,180.0,0
K7,BALL16M2,629.93,503.94,180.0,0
K8,BALL16M2,598.43,503.94,180.0,0
K9,BALL16M2,566.93,503.94,180.0,0
K10,BALL16M2,535.44,503.94,180.0,0
K11,BALL16M2,503.94,503.94,180.0,0
K12,BALL16M2,472.45,503.94,180.0,0
K13,BALL16M2,440.95,503.94,180.0,0
K14,BALL16M2,409.45,503.94,180.0,0
K15,BALL16M2,377.96,503.94,180.0,0
K16,BALL16M2,346.46,503.94,180.0,0
K17,BALL16M2,314.97,503.94,180.0,0
K18,BALL16M2,283.47,503.94,180.0,0
K19,BALL16M2,251.97,503.94,180.0,0
K20,BALL16M2,220.48,503.94,180.0,0
L1,BALL16M2,818.9,535.44,180.0,0
L2,BALL16M2,787.41,535.44,180.0,0
L3,BALL16M2,755.91,535.44,180.0,0
L4,BALL16M2,724.41,535.44,180.0,0
L5,BALL16M2,692.92,535.44,180.0,0
L6,BALL16M2,661.42,535.44,180.0,0
L7,BALL16M2,629.93,535.44,180.0,0
L8,BALL16M2,598.43,535.44,180.0,0
L9,BALL16M2,566.93,535.44,180.0,0
L10,BALL16M2,535.44,535.44,180.0,0
L11,BALL16M2,503.94,535.44,180.0,0
L12,BALL16M2,472.45,535.44,180.0,0
L13,BALL16M2,440.95,535.44,180.0,0
L14,BALL16M2,409.45,535.44,180.0,0
L15,BALL16M2,377.96,535.44,180.0,0
L16,BALL16M2,346.46,535.44,180.0,0
L17,BALL16M2,314.97,535.44,180.0,0
L18,BALL16M2,283.47,535.44,180.0,0
L19,BALL16M2,251.97,535.44,180.0,0
L20,BALL16M2,220.48,535.44,180.0,0
M1,BALL16M2,818.9,566.93,180.0,0
M2,BALL16M2,787.41,566.93,180.0,0
M3,BALL16M2,755.91,566.93,180.0,0
M4,BALL16M2,724.41,566.93,180.0,0
M5,BALL16M2,692.92,566.93,180.0,0
M6,BALL16M2,661.42,566.93,180.0,0
M7,BALL16M2,629.93,566.93,180.0,0
M8,BALL16M2,598.43,566.93,180.0,0
M9,BALL16M2,566.93,566.93,180.0,0
M10,BALL16M2,535.44,566.93,180.0,0
M11,BALL16M2,503.94,566.93,180.0,0
M12,BALL16M2,472.45,566.93,180.0,0
M13,BALL16M2,440.95,566.93,180.0,0
M14,BALL16M2,409.45,566.93,180.0,0
M15,BALL16M2,377.96,566.93,180.0,0
M16,BALL16M2,346.46,566.93,180.0,0
M17,BALL16M2,314.97,566.93,180.0,0
M18,BALL16M2,283.47,566.93,180.0,0
M19,BALL16M2,251.97,566.93,180.0,0
M20,BALL16M2,220.48,566.93,180.0,0
N1,BALL16M2,818.9,598.43,180.0,0
N2,BALL16M2,787.41,598.43,180.0,0
N3,BALL16M2,755.91,598.43,180.0,0
N4,BALL16M2,724.41,598.43,180.0,0
N5,BALL16M2,692.92,598.43,180.0,0
